정보공시 학교코드,시도교육청,교육지원청,지역,학교명,설립구분,점검영역_총개수,미관리_영역수,관리_영역수,최근점검일,평균점검일,점검경과일_평균,점검경과일_최근,학교급,환경_부적합_수,환경_미실시_수,환경_위험항목_수,학생수,환경위험_log,미관리_norm,환경위험_norm,경과일_norm,위험도_점수,위험군,우선순위_점수
S140005410,전라남도교육청,전라남도교육청,전라남도 영암군,삼호고등학교,공립,6,0,6,2025-02-28,2025-02-19 16:00:00.000000,131.0,123.0,고,0.0,19.0,19.0,402.0,2.995732273553991,0.0,0.7916443316431058,0.0219780219780219,29.74121785057236,고위험,208.15689701119223
S090001318,경기도교육청,경기도광주하남교육지원청,경기도 하남시,하남초등학교,공립,6,1,5,2025-02-25,2025-02-15 14:24:00.000000,135.0,126.0,초,0.0,8.0,8.0,394.0,2.19722457733622,0.1666666666666666,0.5806327879665873,0.0329670329670329,29.81889448305178,고위험,208.10265823285863
S130000692,전북특별자치도교육청,전북특별자치도김제교육지원청,전북특별자치도 김제시,김제중학교,공립,6,0,6,2025-02-17,2025-01-04 12:00:00.000000,177.0,134.0,중,0.0,20.0,20.0,229.0,3.044522437723423,0.0,0.8045374921052874,0.1483516483516483,32.30863907927996,고위험,208.0055807557797
S090003752,경기도교육청,경기도이천교육지원청,경기도 이천시,이천중학교,공립,6,0,6,2024-12-20,2024-11-05 16:00:00.000000,237.0,193.0,중,0.0,8.0,8.0,879.0,2.19722457733622,0.0,0.5806327879665873,0.3131868131868132,26.72426078341808,고위험,207.91266192991588
S100000834,강원특별자치도교육청,강원특별자치도삼척교육지원청,강원특별자치도 삼척시,미로중학교,공립,6,3,3,2024-12-04,2024-12-01 16:00:00.000000,211.0,209.0,중,0.0,9.0,9.0,23.0,2.302585092994046,0.5,0.6084750807294722,0.2417582417582417,49.75677398213445,고위험,207.8864801218138
S150000741,경상북도교육청,경상북도교육청,경상북도 경주시,경주정보고등학교,사립,6,0,6,2025-02-26,2025-02-03 00:00:00.000000,148.0,125.0,고,0.0,15.0,15.0,565.0,2.772588722239781,0.0,0.7326770036545345,0.0686813186813186,28.32494580342197,고위험,207.86527953841852
S040000435,인천광역시교육청,인천광역시남부교육지원청,인천광역시 중구,인성여자중학교,사립,6,1,5,2025-02-25,2025-02-17 09:36:00.000000,133.0,126.0,중,0.0,9.0,9.0,315.0,2.302585092994046,0.1666666666666666,0.6084750807294722,0.0274725274725274,30.761297791658254,고위험,207.8153980358236
S070000104,울산광역시교육청,울산광역시교육청,울산광역시 동구,울산생활과학고등학교,공립,6,0,6,2024-12-13,2024-11-29 08:00:00.000000,213.0,200.0,고,0.0,11.0,11.0,541.0,2.4849066497880004,0.0,0.6566548958105609,0.2472527472527472,28.455551095617825,고위험,207.5908144600894
S140000180,전라남도교육청,전라남도교육청,전라남도 영암군,구림공업고등학교,공립,6,2,4,2025-02-21,2025-02-19 18:00:00.000000,131.0,130.0,고,0.0,8.0,8.0,94.0,2.19722457733622,0.3333333333333333,0.5806327879665873,0.0219780219780219,37.36391279807009,고위험,207.5145718689792
S130000364,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 정읍시,신태인고등학교,사립,6,2,4,2025-02-27,2025-01-28 00:00:00.000000,154.0,124.0,고,0.0,7.0,7.0,95.0,2.079441541679836,0.3333333333333333,0.5495077527409008,0.0851648351648351,37.25334076282289,고위험,207.2905592997485
